Number,Latency Leap,Latency Arduino,Latency Serial,Latency Total
1,1,157.00006485,157.999992371,-7.24792480469e-05
2,1,0.0,10.999917984,9.99991798401
3,1,0.0,34.0001583099,33.0001583099
4,1,0.0,32.9999923706,31.9999923706
5,1,0.0,32.9999923706,31.9999923706
6,1,0.0,33.9999198914,32.9999198914
7,1,0.0,32.9999923706,31.9999923706
8,1,0.0,32.9999923706,31.9999923706
9,1,0.0,32.9999923706,31.9999923706
10,1,0.0,34.0001583099,33.0001583099
11,1,0.0,32.9999923706,31.9999923706
12,1,0.0,32.9999923706,31.9999923706
13,1,0.0,33.9999198914,32.9999198914
14,1,0.0,32.9999923706,31.9999923706
15,1,0.0,32.9999923706,31.9999923706
16,1,0.0,33.9999198914,32.9999198914
17,2,0.0,32.9999923706,30.9999923706
18,1,0.0,32.9999923706,31.9999923706
19,1,0.0,32.9999923706,31.9999923706
20,1,1.00016593933,34.0001583099,31.9999923706
21,1,0.0,32.9999923706,31.9999923706
22,1,0.0,32.9999923706,31.9999923706
23,1,0.0,33.9999198914,32.9999198914
24,1,0.0,32.9999923706,31.9999923706
25,1,0.0,32.0000648499,31.0000648499
26,1,0.0,33.9999198914,32.9999198914
27,1,0.0,32.9999923706,31.9999923706
28,1,0.0,34.0001583099,33.0001583099
29,1,0.0,32.9999923706,31.9999923706
30,1,0.0,32.9999923706,31.9999923706
31,1,0.0,33.9999198914,32.9999198914
32,1,0.0,32.9999923706,31.9999923706
33,1,0.0,32.9999923706,31.9999923706
34,1,0.0,33.9999198914,32.9999198914
35,1,0.0,32.9999923706,31.9999923706
36,1,0.0,32.9999923706,31.9999923706
37,1,0.0,34.0001583099,33.0001583099
38,1,0.0,32.9999923706,31.9999923706
39,1,0.0,32.9999923706,31.9999923706
40,1,0.0,32.0000648499,31.0000648499
41,1,0.0,33.9999198914,32.9999198914
42,1,0.0,32.9999923706,31.9999923706
43,1,0.0,32.9999923706,31.9999923706
44,1,0.0,33.9999198914,32.9999198914
45,1,0.0,32.9999923706,31.9999923706
