Time,Thumb,Pointer,Middle,Ring,Pinky
0.14100003242492676,16,8,11,13,25
0.14800000190734863,16,9,11,13,24
0.24699997901916504,15,6,11,12,25
0.3469998836517334,15,7,11,12,25
0.4479999542236328,14,6,11,12,24
0.5460000038146973,15,7,11,13,23
0.6469998359680176,15,7,10,13,24
0.746999979019165,17,6,13,12,24
0.8469998836517334,21,7,12,13,25
0.9470000267028809,39,6,12,13,25
1.0479998588562012,78,6,12,12,24
1.1480000019073486,100,3,11,13,24
1.248999834060669,117,2,11,11,24
1.3489999771118164,127,1,11,11,22
1.4470000267028809,129,1,12,9,22
1.5479998588562012,131,3,15,9,22
1.6489999294281006,132,7,17,11,19
1.748999834060669,134,12,20,11,18
1.8499999046325684,134,17,24,11,18
1.9500000476837158,132,20,26,11,17
2.0490000247955322,127,16,25,11,17
2.1469998359680176,110,7,19,9,16
2.246999979019165,91,3,16,9,15
2.3459999561309814,72,1,15,8,15
2.447000026702881,52,3,14,9,14
2.546999931335449,31,1,12,8,15
2.6480000019073486,14,3,11,8,14
2.744999885559082,7,2,9,6,14
2.8450000286102295,4,1,8,6,13
2.944999933242798,3,1,7,6,14
3.044999837875366,4,1,8,6,13
3.1449999809265137,14,1,8,6,13
3.246000051498413,53,1,8,6,14
3.3459999561309814,83,2,8,8,14
3.447000026702881,103,2,9,7,15
3.546999931335449,119,1,9,7,14
3.6480000019073486,127,9,14,9,16
3.748999834060669,131,15,20,9,17
3.8509998321533203,134,22,25,11,17
3.9509999752044678,134,28,29,12,17
4.049999952316284,133,31,30,12,18
4.1499998569488525,130,32,31,12,18
4.25,128,31,31,12,17
4.349999904632568,113,24,27,12,16
4.450000047683716,93,17,22,10,15
4.549000024795532,74,12,23,9,15
4.648000001907349,49,11,22,8,14
4.75,24,10,22,10,16
4.848999977111816,11,10,20,11,15
4.944999933242798,6,8,17,9,14
5.046000003814697,3,7,17,9,14
5.146999835968018,3,7,17,8,14
5.246000051498413,4,7,16,8,13
5.346999883651733,15,7,17,8,14
5.447999954223633,36,7,16,8,13
5.547999858856201,54,7,17,10,14
5.648000001907349,72,7,16,9,12
5.746999979019165,96,7,17,8,14
5.8480000495910645,116,8,18,8,14
5.950000047683716,124,10,19,7,15
6.049000024795532,132,19,23,9,16
6.1499998569488525,132,25,24,11,16
6.250999927520752,129,27,22,11,16
6.349999904632568,128,28,22,11,16
6.450000047683716,126,30,23,12,16
6.550999879837036,122,28,23,11,16
6.648999929428101,112,23,20,9,16
6.748999834060669,88,18,18,8,12
6.848999977111816,60,14,17,8,14
6.947999954223633,30,11,16,7,13
7.049000024795532,14,10,14,5,13
7.145999908447266,7,7,12,6,11
7.246000051498413,5,6,11,6,12
7.3459999561309814,4,5,10,6,12
7.44599986076355,4,4,9,6,11
7.546000003814697,6,6,11,6,11
7.644999980926514,5,4,7,8,11
7.746000051498413,22,3,9,5,11
7.846999883651733,49,4,10,5,12
7.947000026702881,69,3,10,6,12
8.047999858856201,92,6,11,6,12
8.148000001907349,114,5,11,6,12
8.247999906539917,118,7,14,6,14
8.35099983215332,120,10,18,10,14
8.450000047683716,125,18,25,12,16
8.550999879837036,129,24,29,15,17
8.651000022888184,127,25,31,16,18
8.75,125,27,31,16,18
8.85099983215332,120,25,32,17,18
8.950000047683716,110,19,26,12,16
9.049000024795532,86,16,25,15,16
9.1489999294281,69,15,25,12,15
9.248999834060669,37,13,24,13,15
9.348999977111816,16,13,24,14,15
9.447999954223633,8,14,24,14,15
9.547999858856201,4,13,24,13,14
9.648000001907349,2,12,21,13,14
9.747999906539917,0,8,21,12,14
9.846999883651733,3,6,20,12,14
9.94700002670288,2,6,20,12,14
10.04699993133545,5,6,19,11,13
10.145999908447266,9,7,18,9,14
10.247999906539917,21,7,18,11,12
10.348000049591064,48,7,18,9,14
10.447999954223633,69,6,18,10,13
10.54699993133545,92,5,18,9,14
10.649999856948853,112,6,17,10,14
10.748999834060669,122,8,18,10,15
10.849999904632568,129,12,23,11,15
10.950999975204468,127,16,26,11,16
11.049999952316284,128,21,29,12,18
11.151000022888184,129,27,32,13,18
11.250999927520752,127,30,32,13,18
11.348999977111816,125,31,32,14,18
11.450000047683716,115,24,28,12,17
11.549000024795532,96,16,23,11,15
11.646999835968018,75,15,21,9,14
11.747999906539917,59,12,20,9,14
11.848999977111816,38,11,18,8,14
11.947999954223633,19,10,17,8,14
12.046000003814697,9,7,14,8,14
12.144999980926514,5,4,12,6,14
12.246000051498413,4,2,10,6,15
12.34500002861023,3,1,7,4,13
12.444999933242798,2,0,8,3,13
12.544999837875366,3,3,8,3,12
12.646999835968018,3,31,12,5,13
12.746000051498413,3,63,19,7,14
12.845999956130981,4,80,28,9,14
12.947999954223633,5,94,42,16,16
13.047999858856201,5,106,66,36,16
13.1489999294281,6,115,88,70,20
13.25,7,120,102,85,23
13.348999977111816,7,124,111,96,31
13.450999975204468,9,127,120,105,39
13.550999879837036,9,130,124,109,42
13.651999950408936,10,129,124,110,45
13.750999927520752,9,127,120,106,44
13.85099983215332,9,120,110,92,39
13.948999881744385,10,105,96,84,33
14.047999858856201,9,82,79,76,31
14.1489999294281,9,57,62,67,29
14.247999906539917,9,42,40,51,26
14.348000049591064,9,22,22,32,24
14.44700002670288,8,3,12,25,22
14.546000003814697,7,0,9,15,20
14.644999980926514,7,0,7,7,16
14.746000051498413,6,0,6,4,13
14.84500002861023,6,0,5,4,14
14.94599986076355,6,0,5,3,14
15.04699993133545,6,19,8,5,13
15.146999835968018,7,60,15,7,15
15.247999906539917,5,78,28,16,16
15.348000049591064,7,90,44,26,18
15.447999954223633,9,99,61,41,20
15.549999952316284,9,102,71,61,21
15.648000001907349,9,110,83,76,22
15.75,10,112,95,86,25
15.85099983215332,10,117,104,95,28
15.950000047683716,9,124,112,99,32
16.052000045776367,13,127,117,106,37
16.151999950408936,15,129,119,109,49
16.250999927520752,16,129,120,110,56
16.35199999809265,16,125,113,103,52
16.450999975204468,14,112,101,95,38
16.5479998588562,15,91,90,91,33
16.6489999294281,14,72,78,86,32
16.74899983406067,14,57,63,79,29
16.848000049591064,15,42,47,72,28
16.948999881744385,16,21,37,69,25
17.0479998588562,14,3,28,62,24
17.14800000190735,14,0,20,54,21
17.247999906539917,13,0,16,49,21
17.348000049591064,12,0,15,46,21
17.447999954223633,12,0,13,40,19
17.5479998588562,12,0,13,40,18
17.64800000190735,11,0,15,40,19
17.746999979019165,12,4,18,40,19
17.848999977111816,13,53,24,41,20
17.948999881744385,12,82,35,46,22
18.049000024795532,12,96,48,56,24
18.149999856948853,13,102,60,62,25
18.25,14,109,74,69,26
18.34999990463257,14,116,91,76,28
18.450999975204468,14,119,101,84,31
18.550999879837036,15,121,109,91,34
18.651000022888184,14,125,114,96,42
18.751999855041504,15,127,118,101,48
18.85199999809265,16,127,120,104,55
18.95199990272522,16,127,119,103,56
19.050999879837036,16,124,113,97,53
19.149999856948853,16,109,99,88,42
19.24899983406067,17,85,86,82,37
19.348999977111816,15,62,77,77,34
