Number,Latency Arduino,Latency Serial and Leap,Latency Total
1,6.612,1.772,8.384
2,7.172,1.752,8.924
3,7.248,0.008,7.256
4,7.244,1.8,9.044
5,6.208,1.792,8.0
6,7.204,1.832,9.036
7,7.272,0.008,7.28
8,6.296,1.796,8.092
9,6.104,3.588,9.692
10,7.396,1.832,9.228
11,6.824,1.792,8.616
12,6.616,1.804,8.42
13,7.3,1.808,9.108
14,7.364,1.78,9.144
15,5.844,3.612,9.456
16,6.384,1.808,8.192
17,6.736,1.792,8.528
18,7.384,1.788,9.172
19,5.792,3.548,9.34
20,7.192,1.74,8.932
21,6.204,1.8,8.004
22,6.912,1.8,8.712
23,6.516,1.792,8.308
24,7.016,1.74,8.756
25,6.416,1.772,8.188
26,6.464,1.748,8.212
27,6.284,3.588,9.872
28,6.556,1.868,8.424
29,7.048,1.784,8.832
30,6.636,1.8,8.436
31,6.544,1.768,8.312
32,6.26,1.748,8.008
33,6.98,1.736,8.716
34,7.156,1.772,8.928
35,6.16,1.816,7.976
36,7.132,1.792,8.924
37,6.992,1.816,8.808
38,7.12,1.812,8.932
39,7.352,1.792,9.144
40,6.536,1.764,8.3
41,6.984,1.748,8.732
42,6.136,1.748,7.884
43,6.02,3.52,9.54
44,1.852,3.548,5.4
45,6.928,1.8,8.728
46,6.612,1.8,8.412
47,6.484,1.82,8.304
48,6.996,1.752,8.748
49,6.788,1.748,8.536
50,6.556,1.764,8.32
51,6.348,1.76,8.108
52,7.38,0.008,7.388
53,7.304,1.82,9.124
54,7.256,1.8,9.056
55,7.036,1.796,8.832
56,6.596,1.824,8.42
57,6.356,1.752,8.108
58,7.376,0.008,7.384
59,6.752,1.772,8.524
60,6.656,1.744,8.4
61,6.688,1.752,8.44
62,6.976,1.76,8.736
63,7.236,1.764,9.0
64,6.176,3.608,9.784
65,6.528,1.772,8.3
66,7.288,1.74,9.028
67,7.3,0.008,7.308
68,7.38,1.764,9.144
69,5.952,1.748,7.7
70,6.296,1.796,8.092
71,6.296,1.824,8.12
72,5.812,3.524,9.336
73,6.472,1.756,8.228
74,6.672,1.756,8.428
75,6.456,1.744,8.2
76,6.16,1.748,7.908
77,6.84,1.772,8.612
78,5.692,1.796,7.488
79,6.724,1.796,8.52
80,6.336,1.852,8.188
81,6.376,1.816,8.192
82,5.972,3.612,9.584
83,7.344,1.8,9.144
84,6.788,1.824,8.612
85,6.732,1.796,8.528
86,6.844,1.8,8.644
87,6.508,1.8,8.308
88,7.364,1.804,9.168
89,7.352,1.788,9.14
90,6.044,1.828,7.872
91,7.384,0.004,7.388
92,7.36,1.784,9.144
93,7.096,1.824,8.92
94,6.736,1.796,8.532
95,7.228,1.804,9.032
96,6.984,1.832,8.816
97,7.024,1.792,8.816
98,6.644,1.804,8.448
99,6.356,1.836,8.192
100,6.728,1.8,8.528
101,5.992,3.588,9.58
102,7.2,1.848,9.048
103,6.74,1.792,8.532
104,6.932,1.808,8.74
105,7.372,0.008,7.38
106,6.524,1.776,8.3
107,6.356,3.512,9.868
108,7.176,1.744,8.92
109,6.512,1.772,8.284
110,7.168,1.768,8.936
111,5.692,3.532,9.224
112,6.992,1.752,8.744
113,6.58,1.752,8.332
114,6.596,1.796,8.392
115,6.236,3.524,9.76
116,6.076,3.6,9.676
117,6.94,1.764,8.704
118,7.0,1.736,8.736
119,6.696,1.74,8.436
120,7.316,1.828,9.144
121,7.228,1.808,9.036
122,6.888,1.756,8.644
123,7.184,1.744,8.928
124,6.928,1.78,8.708
125,5.76,3.592,9.352
126,6.268,1.84,8.108
127,5.76,1.808,7.568
128,6.724,1.808,8.532
129,7.04,1.788,8.828
130,6.98,1.84,8.82
131,7.036,1.8,8.836
132,6.024,3.536,9.56
133,6.28,1.792,8.072
134,2.904,1.764,4.668
135,6.152,1.752,7.904
136,6.408,3.576,9.984
137,6.696,1.804,8.5
138,6.944,1.784,8.728
139,7.432,1.804,9.236
140,6.008,1.796,7.804
141,6.572,1.76,8.332
142,6.26,1.828,8.088
143,6.944,1.788,8.732
144,7.368,1.8,9.168
145,7.384,1.832,9.216
146,7.172,1.764,8.936
147,6.992,1.744,8.736
