Time,Thumb,Pointer,Middle,Ring,Pinky
0.180000067,93,93,93,93,93
0.181999922,93,93,93,93,93
0.245000124,93,93,93,93,93
0.344000101,93,93,93,93,93
0.446000099,93,93,93,93,93
0.545000076,93,93,93,93,93
0.644999981,93,93,93,93,93
0.745000124,93,93,93,93,93
0.845000029,93,93,93,93,93
0.947000027,50,0,0,0,0
1.051000118,32,0,0,0,0
1.148999929,21,0,0,0,0
1.252000093,20,0,0,0,0
1.352999926,3,1,2,0,8
1.460000038,15,3,5,1,6
1.563999891,30,5,7,4,6
1.667999983,30,8,9,6,7
1.773000002,24,9,11,10,11
1.877000093,27,8,11,11,12
1.980999947,29,5,10,10,11
2.085000038,30,4,8,9,10
2.181999922,28,3,7,7,9
2.282999992,28,3,6,7,9
2.387000084,28,2,6,7,8
2.490999937,24,4,5,6,7
2.597000122,21,11,6,6,6
2.69900012,13,21,6,5,5
2.803999901,10,48,4,2,2
2.90899992,12,90,8,3,0
3.013999939,17,113,18,10,0
3.118000031,21,129,31,22,2
3.22300005,33,144,46,35,2
3.325999975,52,157,62,51,2
3.428999901,61,165,79,66,7
3.52699995,70,169,88,77,12
3.631000042,77,171,93,80,18
3.736000061,75,172,94,82,23
3.838999987,71,172,95,83,27
3.943000078,71,172,96,83,28
4.046000004,70,173,97,84,29
4.147000074,52,172,94,81,26
4.246999979,13,156,76,65,21
4.349999905,0,109,55,51,20
4.453000069,0,59,37,37,22
4.555999994,0,25,16,20,18
4.660000086,0,10,6,7,12
4.762000084,4,3,0,1,8
4.867000103,11,1,0,0,7
4.970999956,15,0,0,0,5
5.075999975,17,0,0,0,4
5.180000067,19,2,0,0,4
5.28399992,19,5,0,0,3
5.388000011,9,19,0,0,0
5.490999937,1,53,0,0,0
5.59800005,0,91,11,5,0
5.700999975,0,111,23,15,0
5.805999994,2,130,33,24,0
5.911000013,17,151,47,37,0
6.015000105,39,163,62,51,0
6.118000031,48,165,77,69,7
6.223999977,52,169,91,83,18
6.328000069,49,170,96,88,23
6.433000088,41,169,98,91,25
6.53399992,38,169,99,92,27
6.635999918,35,170,103,94,28
6.736000061,29,169,104,96,27
6.838000059,0,163,88,86,25
6.941999912,0,137,71,69,25
7.046999931,0,104,57,59,27
7.147000074,0,71,43,50,30
7.246999979,0,43,30,39,29
7.349999905,0,18,14,29,24
7.451999903,0,0,0,21,19
7.556999922,0,0,0,15,15
7.661000013,2,0,0,11,12
7.763000011,2,0,0,9,11
7.868000031,3,0,0,8,10
7.97300005,5,0,0,8,10
8.076999903,0,12,0,4,7
8.180999994,0,40,0,0,1
8.286000013,11,77,6,4,0
8.391000032,19,111,14,10,1
8.496000051,25,132,28,23,3
8.598999977,34,148,42,36,5
8.703000069,41,156,52,44,6
8.808000088,45,165,64,56,8
8.913000107,50,171,72,64,13
9.016000032,55,173,76,70,16
9.121000051,57,174,82,73,20
9.223999977,57,175,85,76,23
9.328999996,57,175,85,76,26
9.433000088,58,175,86,77,26
9.536999941,57,175,86,76,27
9.640000105,37,174,84,76,27
9.743999958,3,164,79,74,27
9.84800005,0,141,70,70,28
9.950999975,0,87,57,60,29
10.05599999,0,47,42,46,29
10.15899992,0,26,28,34,26
10.26300001,0,13,14,25,22
10.36599994,0,5,7,16,17
10.47000003,0,0,2,9,13
10.57299995,0,0,0,3,9
10.67600012,0,0,0,1,7
10.77999997,0,0,0,0,6
10.88599992,0,1,0,0,5
10.99000001,0,21,0,0,0
11.09599996,0,62,0,0,0
11.19799995,0,95,5,0,0
11.3039999,0,116,20,13,0
11.40799999,0,132,33,24,1
11.51300001,0,145,46,36,1
11.61599994,0,151,58,47,2
11.72200012,10,161,68,59,5
11.82500005,22,171,77,67,7
11.93000007,30,173,84,75,10
12.03399992,36,175,89,82,14
12.13899994,33,175,96,90,16
12.2420001,33,175,99,92,19
12.34500003,32,175,99,92,19
12.4460001,29,175,101,94,19
12.54399991,0,169,82,76,18
12.6500001,0,128,57,55,19
12.75200009,0,76,41,42,24
12.85599995,0,31,21,25,21
12.95900011,0,9,5,10,14
13.06100011,0,2,0,0,8
13.16599989,0,1,0,0,5
13.26999998,0,0,0,0,3
13.37400007,0,0,0,0,3
13.47900009,0,3,0,0,3
13.58299994,0,8,0,0,0
13.68700004,0,31,0,0,0
13.79200006,0,63,0,0,0
13.89700007,0,93,6,0,0
14.00099993,0,117,19,0,0
14.10500002,0,136,33,22,0
14.20900011,3,154,48,37,0
14.31399989,19,168,62,51,0
14.41799998,26,172,73,63,7
14.523,28,173,81,71,14
14.62800002,28,174,85,76,17
14.73099995,28,174,88,76,20
14.83299994,9,174,88,77,22
14.93300009,0,165,79,71,21
15.03399992,0,129,61,58,21
15.13800001,7,61,32,40,21
15.24099994,3,30,22,24,19
15.3440001,0,8,6,11,14
15.44000006,0,0,1,4,9
15.53999996,0,0,0,1,6
15.64599991,0,0,0,0,6
15.75099993,0,0,0,0,6
15.85500002,0,6,0,0,6
15.954,0,17,0,0,2
16.05599999,0,40,0,0,0
16.15899992,0,68,0,0,0
16.26399994,0,104,0,0,0
16.36800003,0,120,10,2,0
16.47300005,0,140,28,18,0
16.5769999,7,156,47,35,0
16.68099999,24,164,63,51,0
16.78500009,41,170,79,66,3
16.88899994,45,172,89,79,9
16.99399996,49,173,94,82,16
17.09899998,53,173,96,84,19
17.20300007,12,172,93,82,20
17.30599999,0,156,78,70,17
17.41100001,4,109,54,51,15
17.51300001,6,56,36,35,16
17.6170001,2,25,22,21,15
17.72099996,0,3,11,9,11
17.8210001,0,0,5,3,8
17.92700005,4,0,3,1,6
18.0309999,2,0,1,0,5
18.13499999,0,3,0,0,5
18.24000001,0,20,0,0,0
18.34500003,0,50,0,0,0
18.44799995,0,80,0,0,0
18.5539999,0,108,11,6,0
18.65799999,0,129,22,15,2
18.76300001,0,144,35,26,4
18.86599994,9,153,51,40,5
18.97099996,20,157,64,54,5
19.07500005,38,168,78,66,9
19.18099999,40,172,88,76,15
19.28500009,39,172,95,84,22
19.38899994,37,173,98,88,25
19.49300003,36,173,98,88,26
19.59500003,9,171,91,81,24
19.70000005,0,142,70,66,20
19.80299997,0,86,47,44,20
19.90799999,0,35,26,27,20
20.00999999,0,9,9,13,14
20.11199999,0,0,0,4,8
20.21600008,3,0,0,2,6
20.31900001,6,0,0,1,5
20.42499995,0,6,0,0,4
20.52999997,0,20,0,0,0
20.63400006,0,68,0,0,0
20.73900008,0,106,2,0,0
20.8440001,0,130,17,12,0
20.94799995,0,146,35,27,3
21.05299997,24,160,54,45,4
21.1559999,36,167,69,60,7
21.26099992,47,170,82,71,13
21.36500001,58,172,90,80,19
21.46600008,65,172,93,83,22
21.56800008,64,172,94,85,24
21.66899991,45,172,90,83,25
21.773,24,169,84,78,24
21.87599993,6,151,74,72,24
