Thumb,Pointer,Middle,Ring,Pinky

93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
93,93,93,93,93
160,8,28,32,52
160,8,28,32,52
164,12,28,32,52
172,16,28,36,52
180,20,28,36,52
180,20,28,32,52
180,24,20,32,56
180,24,20,32,56
180,24,16,32,56
180,20,16,32,56
180,12,12,32,60
180,4,16,32,60
180,4,16,36,64
180,20,24,44,72
180,28,28,52,76
180,32,24,68,92
180,32,24,68,100
180,32,12,84,112
180,32,24,100,124
180,32,28,104,128
180,12,48,124,132
180,4,52,124,128
180,20,52,124,124
180,56,60,112,104
180,72,68,96,88
180,92,76,76,68
180,96,72,68,64
180,100,60,52,56
180,100,60,48,56
180,96,48,44,56
164,88,44,44,56
144,76,36,36,56
136,64,36,36,52
136,52,36,36,56
132,36,36,36,56
136,28,32,44,60
148,20,32,52,68
164,16,32,56,72
180,16,32,64,80
180,16,32,68,84
180,16,28,76,104
180,16,20,80,112
180,12,16,80,120
180,12,16,80,124
180,12,20,88,132
180,12,20,92,136
180,8,20,92,136
180,8,20,92,140
180,4,16,92,140
180,0,16,88,140
180,0,12,80,132
180,0,12,76,124
180,4,12,64,88
180,8,12,64,80
180,12,16,84,56
180,16,16,104,56
180,32,16,128,28
180,32,16,128,28
180,64,20,140,24
160,36,12,64,24
112,36,8,24,24
92,36,8,24,24
64,56,8,8,24
64,64,8,8,24
64,76,8,8,24
64,88,8,8,24
64,84,12,20,24
68,76,12,24,24
68,56,20,32,24
72,28,36,36,28
72,20,36,36,28
72,12,48,36,28
68,12,52,36,24
64,16,56,36,24
64,16,56,36,24
64,20,56,36,24
88,20,56,36,24
96,20,56,36,24
144,8,48,36,24
168,4,32,32,16
180,4,32,28,16
180,4,24,28,20
180,4,20,28,20
180,4,20,28,20
180,8,20,28,20
180,8,16,28,24
180,8,20,28,24
180,8,20,32,24
180,8,20,32,24
180,8,24,36,24
180,8,28,36,24
180,8,32,36,24
180,8,32,36,24
172,8,52,44,24
164,8,52,44,28
152,8,52,44,28
140,28,36,32,28
136,44,28,28,28
136,48,24,24,28
136,52,20,24,32
120,52,16,24,32
124,56,16,24,32
152,48,16,32,36
164,44,20,36,44
168,44,20,36,44
160,36,20,44,48
156,32,24,48,52
152,32,28,52,56
140,24,24,52,56
132,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
108,24,24,44,52
